year,id,country,CO2_emissions_transport_cap,gas_cons_capita,diesel_cons_capita,real_gdp_PPP_cap,urban_pop,vehicles_1000cap,share,fuel_cons_capita,gas_share
1974,4,Canada,4.55076959879788,1072.18348643351,84.8332580796763,22300.5166221999,75.731,365.153074348707,12.6387163561077,1157.01674451319,92.6679316888046
1975,4,Canada,4.75395544459119,1092.76573742945,89.0171916067043,22182.9884341673,75.611,375.608033003108,12.2758954501453,1181.78292903615,92.467551407321
1976,4,Canada,4.77898965651869,1111.36151033251,131.006037928395,23276.3612793933,75.503,384.493553209476,8.48328464784162,1242.36754826091,89.4551303990691
1977,4,Canada,4.74286177722708,1112.75004202387,135.148764498235,23519.4639728192,75.543,402.695912638383,8.23351990049752,1247.89880652211,89.1698939215356
1978,4,Canada,5.00981027107554,1132.42636045931,152.97886503578,23951.3424330594,75.583,406.665169092796,7.40250203970626,1285.40522549509,88.0987830139824
1979,4,Canada,5.56275062016586,1159.12180252914,175.557111669481,24950.5056369533,75.623,412.581114659461,6.60253402158611,1334.67891419862,86.8464909573483
1980,4,Canada,5.53390474938998,1149.88004716789,187.370389948359,25182.4104817192,75.663,418.324331130783,6.13693576388888,1337.25043711625,85.9883844680269
1981,4,Canada,5.51985198606471,1098.9156626506,188.5140562249,25583.6842409616,75.712,410.936137371945,5.82935662547931,1287.4297188755,85.3573322519262
1982,4,Canada,4.76237414397473,999.523847313705,122.688675501944,24267.6007668395,75.874,419.255258064457,8.14683053040105,1122.21252281565,89.0672512552154
1983,4,Canada,4.61738677868504,958.477372721559,131.678189817725,24963.2753843802,76.035,423.058787372345,7.27893794749402,1090.15556253928,87.9211559943786
1984,4,Canada,4.71883659382452,941.210800715898,157.069488755739,26386.2239195803,76.195,421.005103554868,5.99232103046817,1098.28028947164,85.6985971375939
1985,4,Canada,4.72972812179133,927.33790764012,171.305219335441,27560.9165273517,76.354,430.23179680797,5.41336633663365,1098.64312697556,84.4075646468545
1986,4,Canada,4.58757007563002,921.882155396123,177.949931308197,27725.4258785698,76.502,439.727117082814,5.18057044820932,1099.83208670432,83.8202637057599
